801.03,2466,4263,4331
459.66,1048,1235,4286
-997.97,1273,4317,1943
-709.24,2348,3783,4903
-146.43,2524,3147,4343
842.17,1314,3687,4283
-667.50,247,4791,2159
587.76,2636,2686,4464
916.05,568,4234,2886
-149.58,1769,1369,2541
1033.05,740,4800,4236
-518.14,1424,1979,2215
-270.44,1686,4593,3863
-803.10,2667,3136,2793
-138.25,2103,4619,3951
-557.07,1509,3577,4020
207.02,2421,2387,4802
865.53,2900,2325,1738
-34.23,1659,1736,2533
360.08,1241,3519,4239
663.55,776,2720,4653
227.03,220,3413,4064
-155.75,1491,1944,4533
165.22,1478,3683,4025
510.00,2076,3913,1791
-797.84,762,3321,3653
2018.89,2875,4724,2471
1900.38,242,1414,1907
529.03,901,1221,1282
-249.23,2328,2603,1521
-11.98,2845,4059,1528
147.05,1711,4073,2810
1749.24,1162,4112,3268
206.25,763,1007,2182
790.43,1794,3168,2883
737.76,500,4287,2351
925.99,849,4400,1783
912.88,594,3018,3001
2109.59,318,4458,2143
1051.18,648,1190,1135
-110.58,1332,1137,3133
-1184.68,1895,3114,3701
1093.44,2686,4285,4380
168.48,353,2150,3762
-192.45,1393,4186,2725
1240.07,2188,3384,3168
-226.89,231,2711,3001
-943.23,2389,2847,3432
694.87,2443,3730,4623
1518.89,2430,1707,1708
798.85,1425,1330,1389
320.83,1794,2895,1379
355.22,1698,4284,1638
2120.35,1979,2799,2467
722.71,272,1529,1441
136.75,1024,1836,3984
1082.84,1480,2319,4461
1010.94,315,1561,4427
-649.79,528,4774,1176
365.38,2387,4426,3178
599.18,2669,1912,2071
52.69,1735,3040,1939
291.55,2437,1372,3932
-668.79,2365,2562,2203
-210.83,2482,4585,2914
974.54,1863,2171,4963
47.81,507,2683,3332
543.68,1744,2945,3658
-440.99,2031,3567,1075
428.74,2449,2996,3821
1707.51,1492,4540,1434
989.52,528,2449,1335
-169.11,181,2603,3940
1530.57,2967,3262,1840
641.64,118,2021,2998
277.44,1266,4190,1535
-469.02,1427,3637,2868
631.99,2610,3146,3476
750.73,1392,3275,2221
1471.24,1603,3498,1280
1106.33,913,2673,1144
-1083.22,1457,2049,1871
-565.04,2177,4559,4713
-35.66,2441,2921,4277
-200.24,2501,3154,2369
88.11,998,4583,4140
1671.22,291,4426,4680
274.51,725,2027,1501
979.03,2451,1734,2898
-476.09,1779,1146,2550
601.48,2982,4155,1870
1269.91,548,2692,4363
-122.57,1790,1419,1401
-293.42,2079,1692,4779
-486.78,2959,1921,3514
151.29,1201,4722,4502
220.20,434,4760,3918
-540.85,171,4733,4203
507.95,2059,3556,4269
758.49,1876,2160,2808
-617.47,110,2757,4606
984.60,2173,4073,3799
-250.76,482,4417,1679
10.99,2524,4047,2111
978.58,1804,3884,2759
998.08,267,3648,2816
-233.28,2213,1334,1546
1796.30,604,4653,4867
372.30,486,1943,1631
-593.48,678,4857,2735
1311.33,2469,3613,3647
143.21,612,1084,3680
663.23,2212,3123,2376
48.18,992,4799,1369
-639.86,2279,2320,3313
539.33,2158,4249,3723
432.78,1825,2302,2668
846.86,1700,1825,3665
257.42,1624,3359,1090
1218.99,1987,1387,4102
1117.25,1944,1605,1102
35.31,231,1541,4492
422.03,1349,2352,4963
400.85,669,2842,4540
38.54,1989,3413,1723
1272.39,1737,2244,4372
-864.20,331,4500,1008
-107.34,2958,2279,4873
1900.80,1825,3063,3864
466.16,1057,1059,1161
359.78,1813,1074,4088
2010.76,2401,3314,1213
1527.79,718,1243,1255
-560.24,1714,1120,1054
831.36,1766,4484,3952
238.29,195,2688,4305
-1261.04,494,4586,3720
798.48,2231,4982,4741
-674.75,1576,2503,2142
-868.39,2113,3173,4941
962.68,2563,4353,3589
898.23,1695,2493,1452
508.41,919,3698,1856
-512.61,2037,1270,3378
-709.06,2837,1588,4703
355.63,1957,4787,3767
-595.07,891,2715,4468
1641.37,2059,3410,4571
218.70,1098,1683,1262
857.94,470,4151,4239
-227.07,1646,2266,2069
668.27,2088,1884,4890
1184.30,929,2509,3667
1266.00,547,4030,1341
-99.74,250,1851,3717
1168.69,658,4742,4288
-361.78,884,2100,2648
1006.01,2343,4421,2402
270.43,667,3938,1749
-554.95,1384,4549,2088
-660.46,1814,3486,4811
662.22,2928,2911,3711
-46.49,1685,2693,2173
-2.88,2382,3817,1974
549.17,1737,2310,4432
642.50,361,4011,3581
159.76,2545,2200,1187
-27.58,1514,2725,3942
252.56,2105,1824,4323
-939.74,2032,3540,1967
320.14,2964,3535,3880
1192.64,1470,1541,4680
-77.26,366,4191,1481
1283.49,1976,3487,3100
1439.41,848,3310,1206
1330.41,245,2165,2907
436.74,967,1935,2178
55.50,2260,1041,3418
1944.59,2035,4497,1629
1141.77,988,1102,1111
1452.03,1187,1863,2421
384.15,355,1124,3676
1920.82,115,4469,4067
152.68,879,1275,1208
348.19,1546,3358,3298
-1140.85,1107,4098,2779
1229.63,2609,4147,4518
-94.77,1132,2272,1863
-79.16,2824,3082,2044
1052.25,2985,2170,2590
