H1,H2,PFR1,PFR2
1300,340,3500,1500
1300,340,3750,1250
1600,340,1000,3250
2900,340,1000,1500
2900,340,1500,1000
1050,345,2000,4000
1050,345,2250,3750
1050,345,2500,3500
1050,345,2750,3250
1050,345,3000,3000
1050,345,3250,2750
1050,345,3500,2500
1050,345,3750,2250
1050,345,2000,4000
1050,345,1500,4500
1050,345,1250,4750
1300,345,1000,4000
1300,345,1250,3750
1300,345,2000,3000
1300,345,2750,2250
1300,345,3000,2000
1300,345,1000,4000
1050,350,1000,5000
1100,350,3750,2000
1100,350,4250,1500
1100,350,4500,1250
1100,350,4750,1000
1150,350,1500,4750
1300,350,1750,3250
1700,350,2250,1750
1700,350,2750,1250
1700,350,3000,1000
2350,350,2000,1000
650,355,5000,3750
650,355,4750,4000
650,355,4500,4250
650,355,4250,4500
700,355,4500,3750
700,355,4750,3500
700,355,5000,3250
700,355,4250,4000
700,355,4000,4250
1100,355,1750,4000
1100,355,2000,3750
1100,355,2250,3500
1100,355,2500,3250
1100,355,2750,3000
1100,355,3000,2750
1100,355,3250,2500
1100,355,3500,2250
1100,355,4000,1750
1100,355,1750,4000
1300,355,1500,3500
1700,355,1500,2500
1700,355,1750,2250
1700,355,2000,2000
1700,355,2500,1500
2350,355,1500,1500
2350,355,1750,1250
2600,355,1000,1750
2600,355,1250,1500
2600,355,1500,1250
2600,355,1750,1000
600,360,5000,4250
600,360,4750,4500
600,360,4500,4750
600,360,4250,5000
650,360,4000,4750
650,360,3750,5000
700,360,3750,4500
700,360,3500,4750
700,360,3250,5000
750,360,4000,3750
750,360,4250,3500
750,360,4500,3250
750,360,4750,3000
750,360,5000,2750
750,360,3750,4000
1450,360,3500,1000
1700,360,1000,3000
1700,360,1250,2750
2150,360,1000,2250
2150,360,1500,1750
2150,360,2250,1000
750,365,3500,4250
750,365,3250,4500
750,365,3000,4750
1350,365,3000,1750
1450,365,1500,3000
1450,365,1750,2750
1450,365,2250,2250
1450,365,2500,2000
